TIMESTAPMP,Activity_1,Activity_2
2017-11-13 12:39:30,Act06,Act03
2017-11-13 12:40:00,Act06,Act15
2017-11-13 12:40:30,Act15,Act10
2017-11-13 12:41:00,Act03,Act06
2017-11-13 12:41:30,Act06,Act03
2017-11-13 12:42:00,Act03,Act06
2017-11-13 12:42:30,Act03,Act06
2017-11-13 12:43:00,Act06,Act03
2017-11-13 12:43:30,Act06,Act03
2017-11-13 12:44:00,Act06,Act03
2017-11-13 12:44:30,Act03,Act06
2017-11-13 12:45:00,Act06,Act03
2017-11-13 12:45:30,Act06,Act03
2017-11-13 12:46:00,Act06,Act03
2017-11-13 12:46:30,Act03,Act06
2017-11-13 12:47:00,Act06,Act03
2017-11-13 12:47:30,Act06,Act03
2017-11-13 12:48:00,Act06,Act03
2017-11-13 12:48:30,Act06,Act03
2017-11-13 12:49:00,Act03,Act06
2017-11-13 12:49:30,Act06,Act03
2017-11-13 12:50:00,Act06,Act03
2017-11-13 12:50:30,Act06,Act03
2017-11-13 12:51:00,Act03,Act06
2017-11-13 12:51:30,Act03,Act06
2017-11-13 12:52:00,Act06,Act03
2017-11-13 12:52:30,Act06,Act01
2017-11-13 12:53:00,Act06,0
2017-11-13 12:53:30,Act06,0
2017-11-13 12:54:00,Act06,0
2017-11-13 12:54:30,Act06,0
2017-11-13 12:55:00,Act06,0
2017-11-13 12:55:30,Act06,0
2017-11-13 12:56:00,Act06,0
2017-11-13 12:56:30,Act06,0
2017-11-13 12:57:00,Act06,0
2017-11-13 12:57:30,Act06,Act19
2017-11-13 12:58:00,Act06,Act03
2017-11-13 12:58:30,Act03,Act06
2017-11-13 12:59:00,Act01,Act06
2017-11-13 12:59:30,Act01,Act06
2017-11-13 13:00:00,Act01,Act19
2017-11-13 13:00:30,Act03,Act10
2017-11-13 13:01:00,Act10,Act01
2017-11-13 13:01:30,Act03,Act08
2017-11-13 13:02:00,Act17,Act06
2017-11-13 13:02:30,Act09,Act17
2017-11-13 13:03:00,Act06,Act09
2017-11-13 13:03:30,Act09,Act06
2017-11-13 13:04:00,Act09,Act17
2017-11-13 13:04:30,Act09,Act06
2017-11-13 13:05:00,Act09,Act06
2017-11-13 13:05:30,Act09,Act06
2017-11-13 13:06:00,Act09,0
2017-11-13 13:06:30,Act09,0
2017-11-13 13:07:00,Act09,0
2017-11-13 13:07:30,Act09,Act03
2017-11-13 13:08:00,Act09,Act06
2017-11-13 13:08:30,Act09,Act06
2017-11-13 13:09:00,Act09,0
2017-11-13 13:09:30,Act09,0
2017-11-13 13:10:00,Act09,Act06
2017-11-13 13:10:30,Act06,Act09
2017-11-13 13:11:00,Act06,Act09
2017-11-13 13:11:30,Act06,Act03
2017-11-13 13:12:00,Act06,0
2017-11-13 13:12:30,Act06,Act09
2017-11-13 13:13:00,Act06,0
2017-11-13 13:13:30,Act06,Act09
2017-11-13 13:14:00,Act06,0
2017-11-13 13:14:30,Act09,Act06
2017-11-13 13:15:00,Act09,0
2017-11-13 13:15:30,Act09,0
2017-11-13 13:16:00,Act09,0
2017-11-13 13:16:30,Act09,0
2017-11-13 13:17:00,Act01,Act09
2017-11-13 13:17:30,Act01,Act09
2017-11-13 13:18:00,0,0
2017-11-13 13:18:30,0,0
